837  32700-32700/? D/dalvikvm©s Late-enabling CheckJNI
907  32700-32700    V/uBleService©s Bind service on device
927  32700-32700    D/dalvikvm©s GetMethodID: not returning static method Landroid/os/Process;.getTotalMemory ()J
927  32700-32700    D/dalvikvm©s GetMethodID: not returning static method Landroid/os/Process;.getFreeMemory ()J
947  32700-32700    V/uBleService©s Register service :android.app.Application
947  32700-32700    D/BluetoothAdapter©s startLeScan(): null
967  32700-32713    D/BluetoothAdapter©s onClientRegistered() - status=0 clientIf=5
977  32700-32700    V/uBleScanner©s StartLeScan.
997  32700-32700    I/Adreno-EGL©s <qeglDrvAPI_eglInitialize:410>: EGL 1.4 QUALCOMM build:  ()
    OpenGL ES Shader Compiler Version: E031.24.00.15
    Build Date: 04/21/15 Tue
    Local Branch:
    Remote Branch:
    Local Patches:
    Reconstruct Branch:
027  32700-32700    D/OpenGLRenderer©s Enabling debug mode 0
027  32700-32700    V/uBleService©s Service connected
057  32700-32700    I/Timeline©s Timeline: Activity_idle id: android.os.BinderProxy@422320a0 time:3424654
497  32700-32713    V/uBleScanner©s onLeScan device scanned, address B4:99:4C:4C:EE:EF, name Tv221u-3
977  32700-32700    V/uBleScanner©s StopLeScan.
977  32700-32700    D/BluetoothAdapter©s stopLeScan()
257  32700-32700    W/Toast©s From      , go ahead.
267  32700-32700    D/BluetoothGatt©s connect() - device: B4:99:4C:4C:EE:EF, auto: false
267  32700-32700    D/BluetoothGatt©s registerApp()
267  32700-32700    D/BluetoothGatt©s registerApp() - UUID=2e2fe433-3702-4819-a840-d233c6cc86f5
337  32700-32713    D/BluetoothGatt©s onClientRegistered() - status=0 clientIf=5
347  32700-32700    V/uBleGatt©s Trying to create a new connection: B4:99:4C:4C:EE:EF
567  32700-32714    D/BluetoothGatt©s onClientConnectionState() - status=0 clientIf=5 device=B4:99:4C:4C:EE:EF
567  32700-32714    V/uBleService©s broadcastUpdate: B4:99:4C:4C:EE:EF
567  32700-32714    V/uBleService©s Connected to GATT server.
567  32700-32714    D/BluetoothGatt©s discoverServices() - device: B4:99:4C:4C:EE:EF
577  32700-32700    V/uBleService©s Service Call Back on Action      .ACTION_GATT_CONNECTED
577  32700-32700    V/uBleDeviceAdapter©s onConnected B4:99:4C:4C:EE:EF,0
577  32700-32714    V/uBleService©s Attempting to start service discovery.
577  32700-32713    D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000180a-0000-1000-8000-00805f9b34fb
577  32700-32714    D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000180f-0000-1000-8000-00805f9b34fb
587  32700-32713    D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000ffe0-0000-1000-8000-00805f9b34fb
587  32700-32714    D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000ffe5-0000-1000-8000-00805f9b34fb
587  32700-32713    D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000fff0-0000-1000-8000-00805f9b34fb
587  32700-32714    D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000ffd0-0000-1000-8000-00805f9b34fb
587  32700-32713    D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000ffc0-0000-1000-8000-00805f9b34fb
587  32700-32714    D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000ffb0-0000-1000-8000-00805f9b34fb
587  32700-32713    D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000ffa0-0000-1000-8000-00805f9b34fb
587  32700-32714    D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000ff90-0000-1000-8000-00805f9b34fb
587  32700-32713    D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000fc60-0000-1000-8000-00805f9b34fb
587  32700-32714    D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000fe00-0000-1000-8000-00805f9b34fb
597  32700-32713    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=00002a23-0000-1000-8000-00805f9b34fb
597  32700-32714    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=00002a26-0000-1000-8000-00805f9b34fb
597  32700-32713    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=00002a29-0000-1000-8000-00805f9b34fb
597  32700-32714    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=00002a19-0000-1000-8000-00805f9b34fb
597  32700-32713    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ffe4-0000-1000-8000-00805f9b34fb
607    32700-772    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ffe9-0000-1000-8000-00805f9b34fb
607  32700-32714    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fff1-0000-1000-8000-00805f9b34fb
607  32700-32713    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fff2-0000-1000-8000-00805f9b34fb
607    32700-772    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fff3-0000-1000-8000-00805f9b34fb
607  32700-32714    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fff4-0000-1000-8000-00805f9b34fb
607  32700-32713    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fff5-0000-1000-8000-00805f9b34fb
607    32700-772    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fff6-0000-1000-8000-00805f9b34fb
607  32700-32714    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fff7-0000-1000-8000-00805f9b34fb
607  32700-32713    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fff8-0000-1000-8000-00805f9b34fb
607    32700-772    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000fff9-0000-1000-8000-00805f9b34fb
607  32700-32714    D/BluetoothGatt©s onGetCharacteristic() - Device=B4:99:4C:4C:EE:EF UUID=0000ffd1-0000-1000-8000-00805f9b34fb
