08-11 600    /? D/dalvikvm©s Late-enabling CheckJNI
08-11 670       V/uBleService©s Bind service on device
08-11 680       D/dalvikvm©s GetMethodID: not returning static method Landroid/os/Process;.getTotalMemory ()J
08-11 680       D/dalvikvm©s GetMethodID: not returning static method Landroid/os/Process;.getFreeMemory ()J
08-11 710       V/uBleService©s Register service :android.app.Application
08-11 710       D/BluetoothAdapter©s startLeScan(): null
08-11 730       D/BluetoothAdapter©s onClientRegistered() - status=0 clientIf=5
08-11 730       V/uBleScanner©s StartLeScan.
08-11 760       I/Adreno-EGL©s <qeglDrvAPI_eglInitialize:410>: EGL 1.4 QUALCOMM build:  ()
    OpenGL ES Shader Compiler Version: E031.24.00.15
    Build Date: 04/21/15 Tue
    Local Branch:
    Remote Branch:
    Local Patches:
    Reconstruct Branch:
08-11 810       D/OpenGLRenderer©s Enabling debug mode 0
08-11 820       V/uBleService©s Service connected
08-11 830       V/uBleScanner©s onLeScan device scanned, address B4:99:4C:4C:EE:EF, name Tv221u-3
08-11 870       I/Timeline©s Timeline: Activity_idle id: android.os.BinderProxy@42233408 time:105424108
08-11 730       V/uBleScanner©s StopLeScan.
08-11 730       D/BluetoothAdapter©s stopLeScan()
08-11 090       W/Toast©s From com.uteacher.www.uteacherble, go ahead.
08-11 110       D/BluetoothGatt©s connect() - device: B4:99:4C:4C:EE:EF, auto: false
08-11 110       D/BluetoothGatt©s registerApp()
08-11 110       D/BluetoothGatt©s registerApp() - UUID=b8e68acf-0c03-41bf-b32e-97deeab07817
08-11 110       D/BluetoothGatt©s onClientRegistered() - status=0 clientIf=5
08-11 110       V/uBleGatt©s Trying to create a new connection: B4:99:4C:4C:EE:EF
08-11 290       D/BluetoothGatt©s onClientConnectionState() - status=0 clientIf=5 device=B4:99:4C:4C:EE:EF
08-11 290       V/uBleService©s broadcastUpdate: B4:99:4C:4C:EE:EF
08-11 290       V/uBleService©s Connected to GATT server.
08-11 290       D/BluetoothGatt©s discoverServices() - device: B4:99:4C:4C:EE:EF
08-11 290       V/uBleService©s Attempting to start service discovery.
08-11 300       V/uBleService©s Service Call Back on Action com.uteacher.www.uteacherble.ACTION_GATT_CONNECTED
08-11 300       V/uBleDeviceAdapter©s onConnected B4:99:4C:4C:EE:EF,0
08-11 300       D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000180a-0000-1000-8000-00805f9b34fb
08-11 300       D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000180f-0000-1000-8000-00805f9b34fb
08-11 300       D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000ffe0-0000-1000-8000-00805f9b34fb
08-11 310       D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000ffe5-0000-1000-8000-00805f9b34fb
08-11 310       D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000fff0-0000-1000-8000-00805f9b34fb
08-11 310       D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000ffd0-0000-1000-8000-00805f9b34fb
08-11 310       D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000ffc0-0000-1000-8000-00805f9b34fb
08-11 320       D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000ffb0-0000-1000-8000-00805f9b34fb
08-11 320       D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000ffa0-0000-1000-8000-00805f9b34fb
08-11 320       D/BluetoothGatt©s onGetService() - Device=B4:99:4C:4C:EE:EF UUID=0000ff90-0000-1000-8000-00805f9b34fb
